gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	p_value	C_index	log2FoldChange	padj	regulation	cox_p_adj	log2_HR	neglog10p	prognostic_class
CLEC4C	-0.38985751977828964	0.6771533485844151	0.4741661354588266	0.9670379708904848	0.1818094643476068	0.03200732179239869	0.5652526821005082	-0.98034659747716	0.00690553030798084	NS	0.9206895747817477	-0.5624455104374094	1.494750663857857	Favorable (Protective DEG)
ITIH2	0.42192983681823326	1.5249015289865895	1.036040443686217	2.2444342663228154	0.19720957042303178	0.032395211963142635	0.5256916996047432	-0.685039737115596	0.0287264758648043	NS	0.9206895747817477	0.6087160831807548	1.489519174103527	Adverse (Risk DEG)
CUBN	-0.4165953925620631	0.6592876186605898	0.4496068672290777	0.9667560613519034	0.19530272846367738	0.03291856371296112	0.5584415584415585	-0.704180612745356	9.43828658056846e-7	NS	0.9206895747817477	-0.6010201069064796	1.4825591219756629	Favorable (Protective DEG)
SPP1	0.09454523715812264	1.0991588848326226	1.0075886276182868	1.1990511017996401	0.04438104935353595	0.03314631867998114	0.5645821569734613	0.863808911891358	0.0040024854994889	NS	0.9206895747817477	0.1363999447876946	1.47956469850353	Adverse (Risk DEG)
ZNF667	-0.27427233691711994	0.760125036960884	0.5902459725483387	0.9788971016951182	0.1290552231652667	0.033567228835764365	0.5602060982495765	-1.35708951011253	1.0803415816825e-8	Down	0.9206895747817477	-0.3956913403233558	1.4740845107332963	Favorable (Protective DEG)
ZFHX2	-0.28191177870011563	0.7543402304733485	0.5809754615939514	0.9794375510273853	0.13323458041059713	0.034352847348366855	0.5988848108413326	-1.10933135891045	3.0485202560178103e-9	Down	0.9206895747817477	-0.4067127250988437	1.4640372604549445	Favorable (Protective DEG)
SHISA3	0.44269949693659993	1.5569044094944013	1.0328254706605002	2.3469128223115705	0.2093922532111075	0.03449721231695215	0.5526185770750989	-0.862447964899643	0.0172602988808307	NS	0.9206895747817477	0.6386803688344715	1.4622159983841274	Adverse (Risk DEG)
ZNF347	-0.19726324216130317	0.8209744897657981	0.6834936408049748	0.9861088276584693	0.09350921038120238	0.03489631677044362	0.5639469226425748	-0.55377499893784	0.00787280996967716	NS	0.9206895747817477	-0.28459070121579083	1.4572204094501728	Favorable (Protective DEG)
PDK4	0.10113289764709289	1.1064236730959904	1.007060524141841	1.215590637345648	0.04800964866758604	0.03515990797348963	0.5686053077357425	-1.15534004512311	1.92609484716431e-5	Down	0.9206895747817477	0.1459039299061921	1.4539522703063983	Adverse (Risk DEG)
NIBAN3	-0.29099690636726777	0.7475179905606375	0.5695260021414608	0.9811371984961994	0.1387545562430138	0.03597533180753608	0.5631352343308865	-1.27448669963989	2.24109050144802e-6	Down	0.9206895747817477	-0.41981979373008715	1.4439951917897609	Favorable (Protective DEG)
PLEKHG7	-0.3480852840303124	0.7060386598242064	0.5092108921181806	0.9789472237971473	0.16674170567762342	0.03683647726524801	0.5763339920948617	-0.773455316888343	0.00371466177270254	NS	0.9206895747817477	-0.5021809130769581	1.4337219088067668	Favorable (Protective DEG)
EFHC2	-0.23342787442450566	0.7918147037719423	0.6357146536474929	0.9862451990246351	0.11203144619671039	0.03719725519485182	0.5897092038396387	-0.979744579765635	2.2642487453653e-4	NS	0.9206895747817477	-0.33676523683748594	1.429489105755463	Favorable (Protective DEG)
LPIN2	-0.25787121858999545	0.772694734417168	0.6050679285698386	0.9867605344861767	0.12476929778565718	0.03875448894678978	0.5585827216261998	-0.534097535491829	5.99300069019875e-6	NS	0.9206895747817477	-0.3720295282477803	1.41167798575357	Favorable (Protective DEG)
CRLF2	-0.4586269655870252	0.6321510150043741	0.4091709794747763	0.9766452798876832	0.2219404057489821	0.03878676801950231	0.5903797289666854	-0.552296538529924	0.00716051156249519	NS	0.9206895747817477	-0.6616588488703545	1.411316407297965	Favorable (Protective DEG)
CNR2	-0.3535588573778799	0.7021846626237627	0.5019607171063456	0.9822746753299954	0.17126567651160848	0.03898091568189392	0.5663466967814794	-1.32190066130134	1.33869330497406e-6	Down	0.9206895747817477	-0.5100776102014355	1.4091479632963124	Favorable (Protective DEG)
IGFBP2	-0.10149904846675657	0.9034820390350067	0.820432517848205	0.9949383734810472	0.04919711243967685	0.03910219022280904	0.5688170525127048	0.647974121155004	0.00650598558581096	NS	0.9206895747817477	-0.14643217387793822	1.4077989158767708	Favorable (Protective DEG)
REPS2	-0.2387035297212571	0.7876483620905397	0.6277687615841786	0.9882459597676566	0.11575716004357597	0.03919764899113508	0.566699604743083	-0.723890315071208	3.24634031118877e-7	NS	0.9206895747817477	-0.34437639857154884	1.4067399804488325	Favorable (Protective DEG)
CMA1	-0.30745826833189766	0.7353135527686587	0.5488749024357384	0.9850806048625441	0.14919991480871525	0.03933038753296683	0.5652173913043479	-0.707793815490051	0.0268713240114877	NS	0.9206895747817477	-0.4435685190027371	1.4052717743479477	Favorable (Protective DEG)
GZMM	-0.20038418890406698	0.8184162662222794	0.6763227375688144	0.9903632505761578	0.09729806620432141	0.03944752409139472	0.5645115753811406	-1.06885660917645	4.92437244161994e-6	Down	0.9206895747817477	-0.28909327560445464	1.403980249924493	Favorable (Protective DEG)
PTGIR	-0.2630261416268319	0.7687218014100217	0.5982529345328386	0.9877648296443616	0.12791842470656709	0.03976303384365286	0.5465838509316769	-0.792763782892378	3.25184340600415e-7	NS	0.9206895747817477	-0.37946651014918853	1.4005204871698038	Favorable (Protective DEG)
SELPLG	-0.19859480071213828	0.8198820416546585	0.6782487926128877	0.9910914247826385	0.09676009782781757	0.04012641322212149	0.5659937888198758	-0.649641469961134	3.34811688741106e-5	NS	0.9206895747817477	-0.2865117341337338	1.3965696587924061	Favorable (Protective DEG)
VSTM4	-0.16405684146701718	0.8486937795096605	0.7256241341870807	0.9926366798498587	0.07993324341443941	0.04012855390816166	0.5627470355731226	-0.843119128438782	1.31600648931341e-5	NS	0.9206895747817477	-0.2366839916083725	1.3965464904286724	Favorable (Protective DEG)
